Sea Level,Global SST
1260.642857,11.40390796
1300.920548,11.39285975
1309.761644,11.41810083
1290.224044,11.43046271
1202.747945,11.36121341
1251.071233,11.37422251
1230.180822,11.4045466
1260.647541,11.40833813
1290.632877,11.49462741
1343.876712,11.43535693
1373.810959,11.42230946
1326.647541,11.3570185
1213.846575,11.4762863
1169.594521,11.49375779
1341.347945,11.47379162
1414.754098,11.43290466
1329.024658,11.45474767
1319.339726,11.43521686
1295.234973,11.43818404
1343.652055,11.49869802
1329.712329,11.50339425
1300.161644,11.45106341
1280.046448,11.56433809
1295.676712,11.59820912
1329.512329,11.60629623
1341.950685,11.6079159
1337.357923,11.63332746
1324.268493,11.60910182
1289.167123,11.45601027
1343.975342,11.44065738
1349.076503,11.42051131
1317.945205,11.42538471
1325.865753,11.44863587
1326.684932,11.48271539
1403.259563,11.51619202
1374.145205,11.57921466
1424.180822,11.47816034
1382.710383,11.47300001
1349.005479,11.45947288
1366.189041,11.60553073
1364.8,11.6098127
1337.398907,11.58485425
1358.345205,11.55176748
1359.789041,11.62248266
1369.928962,11.62265594
1371.408219,11.64200898
1297.824658,11.52744753
1330.65847,11.50655136
1353.756164,11.52818254
1388.736986,11.56540301
1444.536986,11.52577718
1341.713115,11.59095422
1410.408219,11.56025769
1401.246575,11.4978305
1380.762295,11.5803225
1365.632877,11.63175973
1378.712329,11.50607558
1402.948087,11.53261925
1415.764384,11.47929458
1356.386301,11.58324199
1349.534247,11.54587074
1353.575342,11.70402671
1441.39071,11.73527479
1468.493151,11.70034049
1395.416438,11.69125534
1441.986339,11.79114399
1413.287671,11.71557995
1351.134247,11.66701886
1378.786301,11.67940231
1464.355191,11.75143863
1401.180822,11.77443514
1352.016438,11.753072
1396.038356,11.81373528
1419.123288,11.7799162
1413.383562,11.74752575
1475.769863,11.75853635
1457.699454,11.76390484
1442.336986,11.83520118
1372.345205,11.75910731
1423.172603,11.89043722
1389.663934,11.96017666
1404.663014,11.80674339
1399.6,11.82728266
1472.59726,11.87546867
1472.237705,11.89566242
1441.69589,11.89867171
1471.361644,11.88647908
1433.786301,11.92650205
1441.177596,11.92445005
1394.424658,11.8985919
1417.572603,11.86127742
1414.046575,11.91749478
1417.407104,11.94672199
1430.624658,11.89891707
1449.819178,11.93239177
1447.49589,11.94425059
1501.295082,12.00161065
1542.857534,12.05925188
1479.156164,12.1344187
1447.935484,12.05922702
